Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 32,Z,5.625,6.644,"±1,000",1.019,Fail,0.019
insert 33,X,463.883,463.812,"±1,000",-0.071,Pass,
insert 33,Y,103.323,103.394,"±1,000",0.071,Pass,
insert 33,Z,5.625,5.787,"±1,000",0.162,Pass,
insert 34,X,503.479,503.355,"±1,000",-0.124,Pass,
insert 34,Y,165.815,165.833,"±1,000",0.018,Pass,
insert 34,Z,5.625,6.400,"±1,000",0.775,Pass,
insert 35,X,450.651,450.533,"±1,000",-0.118,Pass,
insert 35,Y,279.103,279.158,"±1,000",0.055,Pass,
insert 35,Z,5.625,6.638,"±1,000",1.013,Fail,0.013
insert 36,X,400.569,400.470,"±1,000",-0.099,Pass,
insert 36,Y,255.749,255.891,"±1,000",0.142,Pass,
insert 36,Z,5.625,6.417,"±1,000",0.792,Pass,
insert 37,X,416.403,416.284,"±1,000",-0.119,Pass,
insert 37,Y,328.015,328.085,"±1,000",0.070,Pass,
insert 37,Z,5.625,6.801,"±1,000",1.176,Fail,0.176
insert 38,X,328.015,327.914,"±1,000",-0.101,Pass,
insert 38,Y,416.403,416.436,"±1,000",0.033,Pass,
insert 38,Z,5.625,6.784,"±1,000",1.159,Fail,0.159
insert 39,X,288.940,288.877,"±1,000",-0.063,Pass,
insert 39,Y,377.328,377.462,"±1,000",0.134,Pass,
insert 39,Z,5.625,6.700,"±1,000",1.075,Fail,0.075
insert 40,X,279.103,278.996,"±1,000",-0.107,Pass,
insert 40,Y,450.651,450.593,"±1,000",-0.058,Pass,
insert 40,Z,5.625,6.685,"±1,000",1.060,Fail,0.060
insert 41,X,165.815,165.712,"±1,000",-0.103,Pass,
insert 41,Y,503.479,503.480,"±1,000",0.001,Pass,
insert 41,Z,5.625,6.958,"±1,000",1.333,Fail,0.333
insert 42,X,142.461,142.350,"±1,000",-0.111,Pass,
insert 42,Y,453.396,453.394,"±1,000",-0.002,Pass,
insert 42,Z,5.625,6.883,"±1,000",1.258,Fail,0.258
insert 43,X,108.139,108.053,"±1,000",-0.086,Pass,
insert 43,Y,518.933,518.960,"±1,000",0.027,Pass,
insert 43,Z,5.625,6.964,"±1,000",1.339,Fail,0.339
insert 44,X,-16.385,-16.421,"±1,000",-0.036,Pass,
insert 44,Y,529.827,529.741,"±1,000",-0.086,Pass,
insert 44,Z,5.625,6.865,"±1,000",1.240,Fail,0.240
insert 45,X,-21.201,-21.274,"±1,000",-0.073,Pass,
insert 45,Y,474.777,474.840,"±1,000",0.063,Pass,
insert 45,Z,5.625,6.726,"±1,000",1.101,Fail,0.101
insert 46,X,-75.868,-75.961,"±1,000",-0.093,Pass,
insert 46,Y,524.623,524.573,"±1,000",-0.050,Pass,
insert 46,Z,5.625,6.788,"±1,000",1.163,Fail,0.163
insert 47,X,-196.608,-196.721,"±1,000",-0.113,Pass,
insert 47,Y,492.271,492.301,"±1,000",0.030,Pass,
insert 47,Z,5.625,6.985,"±1,000",1.360,Fail,0.360
insert 48,X,-182.306,-182.401,"±1,000",-0.095,Pass,
insert 48,Y,438.894,438.972,"±1,000",0.078,Pass,
insert 48,Z,5.625,6.685,"±1,000",1.060,Fail,0.060
insert 49,X,-250.724,-251.082,"±1,000",-0.358,Pass,
insert 49,Y,467.036,467.017,"±1,000",-0.019,Pass,
