Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,csys 1,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
ref 13_26,Flatness,,0.105,0.200,0.105,Pass,
ref 13_26,Centroid Z,-5.000,-5.824,"±1,000",-0.824,Pass,
13_24,Flatness,,0.066,0.200,0.066,Pass,
13_24,Centroid Z,-6.725,-7.410,"±1,000",-0.685,Pass,
ref 13_24,Flatness,,0.043,0.200,0.043,Pass,
ref 13_24,Centroid Z,-5.000,-5.556,"±1,000",-0.556,Pass,
13_22,Flatness,,0.140,0.200,0.140,Pass,
13_22,Centroid Z,-6.725,-7.216,"±1,000",-0.491,Pass,
ref 13_22,Flatness,,0.094,0.200,0.094,Pass,
ref 13_22,Centroid Z,-5.000,-5.443,"±1,000",-0.443,Pass,
13_20,Flatness,,0.270,0.200,0.270,Fail,0.070
13_20,Centroid Z,-6.725,-6.705,"±1,000",0.020,Pass,
ref 13_20,Flatness,,0.088,0.200,0.088,Pass,
ref 13_20,Centroid Z,-5.000,-4.818,"±1,000",0.182,Pass,
13_18,Flatness,,0.198,0.200,0.198,Pass,
13_18,Centroid Z,-6.725,-6.651,"±1,000",0.074,Pass,
ref 13_18,Flatness,,0.130,0.200,0.130,Pass,
ref 13_18,Centroid Z,-5.000,-4.884,"±1,000",0.116,Pass,
13_16,Flatness,,0.123,0.200,0.123,Pass,
13_16,Centroid Z,-6.725,-6.777,"±1,000",-0.052,Pass,
ref 13_16,Flatness,,0.048,0.200,0.048,Pass,
ref 13_16,Centroid Z,-5.000,-4.950,"±1,000",0.050,Pass,
13_14,Flatness,,0.084,0.200,0.084,Pass,
13_14,Centroid Z,-6.725,-6.897,"±1,000",-0.172,Pass,
ref 13_14,Flatness,,0.043,0.200,0.043,Pass,
ref 13_14,Centroid Z,-5.000,-5.066,"±1,000",-0.066,Pass,
13_12,Flatness,,0.095,0.200,0.095,Pass,
13_12,Centroid Z,-6.725,-7.102,"±1,000",-0.377,Pass,
ref 13_12,Flatness,,0.017,0.200,0.017,Pass,
ref 13_12,Centroid Z,-5.000,-5.280,"±1,000",-0.280,Pass,
13_10,Flatness,,0.084,0.200,0.084,Pass,
13_10,Centroid Z,-6.725,-7.311,"±1,000",-0.586,Pass,
ref 13_10,Flatness,,0.055,0.200,0.055,Pass,
ref 13_10,Centroid Z,-5.000,-5.482,"±1,000",-0.482,Pass,
13_8,Flatness,,0.093,0.200,0.093,Pass,
13_8,Centroid Z,-6.725,-7.581,"±1,000",-0.856,Pass,
ref 13_8,Flatness,,0.020,0.200,0.020,Pass,
