Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,rotated,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 31,Y,-16.385,-16.420,"±1,000",-0.035,Pass,
insert 31,Z,-5.625,-7.085,"±1,000",-1.460,Fail,-0.460
insert 32,X,-518.933,-518.975,"±1,000",-0.042,Pass,
insert 32,Y,108.139,108.119,"±1,000",-0.020,Pass,
insert 32,Z,-5.625,-6.939,"±1,000",-1.314,Fail,-0.314
insert 33,X,-463.883,-463.969,"±1,000",-0.086,Pass,
insert 33,Y,103.323,103.264,"±1,000",-0.059,Pass,
insert 33,Z,-5.625,-6.263,"±1,000",-0.638,Pass,
insert 34,X,-503.479,-503.630,"±1,000",-0.151,Pass,
insert 34,Y,165.815,165.721,"±1,000",-0.094,Pass,
insert 34,Z,-5.625,-6.742,"±1,000",-1.117,Fail,-0.117
insert 35,X,-450.651,-450.543,"±1,000",0.108,Pass,
insert 35,Y,279.103,279.134,"±1,000",0.031,Pass,
insert 35,Z,-5.625,-6.041,"±1,000",-0.416,Pass,
insert 36,X,-400.569,-400.585,"±1,000",-0.016,Pass,
insert 36,Y,255.749,255.742,"±1,000",-0.007,Pass,
insert 36,Z,-5.625,-6.925,"±1,000",-1.300,Fail,-0.300
insert 37,X,-416.403,-416.293,"±1,000",0.110,Pass,
insert 37,Y,328.015,327.994,"±1,000",-0.021,Pass,
insert 37,Z,-5.625,-6.590,"±1,000",-0.965,Pass,
insert 38,X,-328.015,-328.081,"±1,000",-0.066,Pass,
insert 38,Y,416.403,416.319,"±1,000",-0.084,Pass,
insert 38,Z,-5.625,-6.927,"±1,000",-1.302,Fail,-0.302
insert 39,X,-288.940,-288.990,"±1,000",-0.050,Pass,
insert 39,Y,377.328,377.323,"±1,000",-0.005,Pass,
insert 39,Z,-5.625,-7.368,"±1,000",-1.743,Fail,-0.743
insert 40,X,-279.103,-279.142,"±1,000",-0.039,Pass,
insert 40,Y,450.651,450.538,"±1,000",-0.113,Pass,
insert 40,Z,-5.625,-7.014,"±1,000",-1.389,Fail,-0.389
insert 41,X,-165.815,-165.853,"±1,000",-0.038,Pass,
insert 41,Y,503.479,503.421,"±1,000",-0.058,Pass,
insert 41,Z,-5.625,-7.150,"±1,000",-1.525,Fail,-0.525
insert 42,X,-142.461,-142.361,"±1,000",0.100,Pass,
insert 42,Y,453.396,453.434,"±1,000",0.038,Pass,
insert 42,Z,-5.625,-6.624,"±1,000",-0.999,Pass,
insert 43,X,-108.139,-108.220,"±1,000",-0.081,Pass,
insert 43,Y,518.933,518.920,"±1,000",-0.013,Pass,
insert 43,Z,-5.625,-7.476,"±1,000",-1.851,Fail,-0.851
insert 44,X,16.385,16.477,"±1,000",0.092,Pass,
