RingIndex,ModuleNumber,CenterXn,CenterXm,CenterYn,CenterYm,CenterXd,CenterYd,angle_dev,nofit
1,1,256.582,256.4967004185049,40.6385,40.72704776012749,-0.0852995814951214,0.08854776012749,1.2200606266610237e-05,False
1,2,231.466,231.3962373121597,117.9375,118.10297322945455,-0.06976268784029571,0.16547322945454823,0.00039223359398277147,False
1,3,183.6925,183.62217702400812,183.692,183.75617369284282,-0.07032297599187132,0.06417369284281449,-0.00017532448990398297,False
1,4,117.93799999999999,118.07003510216101,231.466,231.57111445950153,0.13203510216102643,0.10511445950152165,-0.0019443128776379104,False
1,5,40.6385,41.60497163990907,256.5815,255.7865606992202,0.9664716399090665,-0.7949393007798164,-0.009962362189599533,True
1,6,-40.6385,-40.56564656416643,256.5815,256.61505280111936,0.07285343583357218,0.03355280111935599,8.369117283218985e-06,False
1,7,-117.93799999999999,-117.98953767550557,231.466,231.4563763992978,-0.05153767550558541,-0.009623600702212798,-8.724255928349578e-06,False
1,8,-183.6925,-183.59887713021985,183.692,183.69587244698843,0.09362286978014822,0.0038724469884243717,0.0003902692659931706,False
1,9,-231.466,-231.57244952052753,117.9375,117.99332838719505,-0.10644952052751933,0.055828387195049345,0.000578171608886846,False
1,10,-256.582,-256.4931830641275,40.6385,40.649153446127094,0.08881693587250084,0.010653446127093957,-9.028391463616892e-05,False
3,1,337.91949999999997,337.8404437389786,44.488,44.56447101841535,-0.0790562610213783,0.0764710184153472,-6.950532077043547e-05,False
3,2,314.8905,314.82891351152074,130.432,130.4751956503131,-0.06158648847923587,0.043195650313123224,0.0011210617775503362,False
3,3,270.403,270.3428477709155,207.4875,207.544645611065,-0.060152229084508235,0.05714561106498195,0.00033108304778495246,False
3,4,207.4875,207.53295183883955,270.403,270.4070212984649,0.04545183883953996,0.004021298464863321,-9.091246705772438e-05,False
3,5,130.432,130.37623184487643,314.8905,314.9577862470192,-0.05576815512355893,0.06728624701923991,-0.0007653585808590213,False
3,6,44.488,44.53828532987166,337.91949999999997,337.9328993483824,0.05028532987166301,0.013399348382449716,-0.00023305148085633887,False
3,7,-44.488,-44.559369683590745,337.91949999999997,337.8815161634622,-0.07136968359074558,-0.03798383653776227,-0.00041152456530266224,False
3,8,-130.432,-130.3299232274378,314.8905,314.85979587178787,0.10207677256218517,-0.030704128212107662,-0.0006690105011043501,False
3,9,-207.4875,-207.4978835624785,270.403,270.4052841893539,-0.010383562478494923,0.0022841893538725344,-0.0007106528539776447,False
3,10,-270.403,-270.29615956790855,207.4875,207.50620794706646,0.10684043209147376,0.01870794706644574,-4.870146304014611e-06,False
3,11,-314.8905,-314.85333361821307,130.432,130.44938352960526,0.03716638178690346,0.017383529605268677,-0.0003830197978120786,False
3,12,-337.91949999999997,-337.84925673756743,44.488,44.544355281008414,0.07024326243254109,0.05635528100841469,-0.0003556732756251346,False
5,1,418.15,418.05958774114976,41.184,41.2843633554541,-0.09041225885022186,0.10036335545409969,-4.054829888344713e-05,False
5,2,402.08050000000003,401.8888801293608,121.96950000000001,121.99019129395576,-0.19161987063921515,0.020691293955749757,0.001483422358016906,False
5,3,370.5595,370.4551546922419,198.0685,198.12454782563384,-0.10434530775813755,0.05604782563383992,0.00011057457977359242,False
5,4,324.798,324.73593273036,266.5545,266.55668527720337,-0.062067269640010636,0.002185277203352598,-4.454227740902095e-05,False
5,5,266.5545,266.49320336966315,324.798,324.86106943777406,-0.061296630336869384,0.06306943777406104,0.00025714119290709547,False
5,6,198.0685,198.13324445870217,370.5595,370.56477611511724,0.06474445870216528,0.005276115117226254,0.0003391363582784801,False
5,7,121.96950000000001,121.87599064439432,402.08050000000003,402.0981614840547,-0.09350935560568985,0.017661484054656285,0.00018190486159019859,False
5,8,41.184,41.130812619098734,418.15,418.06402348027234,-0.05318738090126374,-0.08597651972763742,-8.365164001344905e-05,False
5,9,-41.184,-41.23770396277457,418.15,417.89399793446677,-0.0537039627745699,-0.2560020655332096,-0.003042432905876649,False
5,10,-121.96950000000001,-121.87089807877484,402.08050000000003,402.14850108276676,0.09860192122516764,0.06800108276672745,0.0012531573765304782,False
5,11,-198.0685,-198.16806980714998,370.5595,370.57140044832516,-0.09956980714997599,0.011900448325150137,-4.5146115946970156e-05,False
5,12,-266.5545,-266.6244490533492,324.798,324.7193910613913,-0.06994905334920531,-0.07860893860868146,-0.0012546630204595122,False
5,13,-324.798,-324.8965469006237,266.5545,266.5686803215403,-0.09854690062371674,0.01418032154026605,0.0006462017830934919,False
5,14,-370.5595,-370.56242895432086,198.0685,197.99877205647596,-0.0029289543208506075,-0.06972794352404321,0.0003580203355508793,False
5,15,-402.08050000000003,-402.07793164186387,121.96950000000001,122.00481882954122,0.002568358136159077,0.035318829541211016,-8.209345673559909e-05,False
5,16,-418.15,-417.99700378127795,41.184,41.291474624095926,0.1529962187220235,0.10747462409592856,0.0006386884327969078,False
7,1,496.855,496.7734901767548,43.468999999999994,43.596424731714485,-0.08150982324519873,0.1274247317144912,0.00010843346692634981,False
7,2,481.7585,481.7217437315527,129.0865,129.0028253441933,-0.03675626844733415,-0.08367465580670341,0.00015930138335673583,False
7,3,452.024,451.8924204597646,210.78199999999998,210.80867314347879,-0.13157954023540697,0.026673143478802785,-0.0001685578349364114,False
7,4,408.55449999999996,408.5458883668812,286.073,286.20851478913386,-0.008611633118789541,0.13551478913387882,3.895343601290069e-05,True
7,5,352.67150000000004,352.55515092150904,352.6715,352.73464796487116,-0.11634907849099818,0.06314796487117746,0.00010751410373865955,False
